type	family	province	isp	host	ip	port	target	backup_host	backup_ip	backup_port	backup_target
cdn	4	湖南	联通	hn-cu-v4.ibsgss.uk	42.49.82.120	80	hn-cu-v4.ip.zstaticcdn.com	bak.hn-cu-v4.ibsgss.uk	61.240.206.2	80	hn-changsha-cu-v4.ip.zstaticcdn.com
cdn	6	湖南	联通	hn-cu-v6.ibsgss.uk	2408:8752:700:3:8000:0:b00:95	80	hn-cu-v6.ip.zstaticcdn.com	bak.hn-cu-v6.ibsgss.uk		80	cs-cu-v6.ip.zstaticcdn.com
cdn	4	湖南	移动	hn-cm-v4.ibsgss.uk	36.133.12.20	80	hn-cm-v4.ip.zstaticcdn.com	bak.hn-cm-v4.ibsgss.uk	36.133.12.2	80	hn-zhuzhou-cm-v4.ip.zstaticcdn.com
cdn	6	湖南	移动	hn-cm-v6.ibsgss.uk	2409:8c50:a00:2084:8000:0:b00:86	80	hn-cm-v6.ip.zstaticcdn.com	bak.hn-cm-v6.ibsgss.uk		80	cs-cm-v6.ip.zstaticcdn.com
cdn	4	广东	电信	gd-ct-v4.ibsgss.uk	14.22.119.35	80	gd-ct-v4.ip.zstaticcdn.com	bak.gd-ct-v4.ibsgss.uk	36.111.36.247	80	gd-guangzhou-ct-v4.ip.zstaticcdn.com
cdn	6	广东	电信	gd-ct-v6.ibsgss.uk	240e:97d:18:2200:8000:0:b00:77	80	gd-ct-v6.ip.zstaticcdn.com	bak.gd-ct-v6.ibsgss.uk	240e:938:a03:303:8000:0:b00:54	80	gz-ct-v6.ip.zstaticcdn.com
cdn	4	广东	联通	gd-cu-v4.ibsgss.uk	122.13.24.8	80	gd-cu-v4.ip.zstaticcdn.com	bak.gd-cu-v4.ibsgss.uk	157.148.134.3	80	gd-dongguan-cu-v4.ip.zstaticcdn.com
cdn	6	广东	联通	gd-cu-v6.ibsgss.uk	2408:8756:dcff:e001:8000:0:b00:99	80	gd-cu-v6.ip.zstaticcdn.com	bak.gd-cu-v6.ibsgss.uk	2408:877f:30:7:8000:0:b00:225	80	gz-cu-v6.ip.zstaticcdn.com
cdn	4	广东	移动	gd-cm-v4.ibsgss.uk	211.139.145.129	80	gd-cm-v4.ip.zstaticcdn.com	bak.gd-cm-v4.ibsgss.uk	120.233.155.1	80	gd-dongguan-cm-v4.ip.zstaticcdn.com
cdn	6	广东	移动	gd-cm-v6.ibsgss.uk	2409:8c54:b010:1c:8000:0:b00:63	80	gd-cm-v6.ip.zstaticcdn.com	bak.gd-cm-v6.ibsgss.uk	2409:8c54:b030:1102:8000:0:b00:47	80	gz-cm-v6.ip.zstaticcdn.com
cdn	4	海南	电信	hi-ct-v4.ibsgss.uk	124.225.43.131	80	hi-ct-v4.ip.zstaticcdn.com	bak.hi-ct-v4.ibsgss.uk	124.225.90.48	80	hi-haikou-ct-v4.ip.zstaticcdn.com
cdn	6	海南	电信	hi-ct-v6.ibsgss.uk	240e:914:15:8000::b00:224	80	hi-ct-v6.ip.zstaticcdn.com	bak.hi-ct-v6.ibsgss.uk		80	haikou-ct-v6.ip.zstaticcdn.com
cdn	4	海南	联通	hi-cu-v4.ibsgss.uk	153.0.233.43	80	hi-cu-v4.ip.zstaticcdn.com	bak.hi-cu-v4.ibsgss.uk	221.11.190.218	80	221.11.190.218
cdn	6	海南	联通	hi-cu-v6.ibsgss.uk	2408:8760:110:102:8000:0:b00:83	80	hi-cu-v6.ip.zstaticcdn.com	bak.hi-cu-v6.ibsgss.uk		80	haikou-cu-v6.ip.zstaticcdn.com
cdn	4	海南	移动	hi-cm-v4.ibsgss.uk	111.29.49.161	80	hi-cm-v4.ip.zstaticcdn.com	bak.hi-cm-v4.ibsgss.uk	221.176.83.73	80	hi.10086.cn
cdn	6	海南	移动	hi-cm-v6.ibsgss.uk	2409:8c5e:5000:b0:8000:0:b00:90	80	hi-cm-v6.ip.zstaticcdn.com	bak.hi-cm-v6.ibsgss.uk		80	haikou-cm-v6.ip.zstaticcdn.com
cdn	4	四川	电信	sc-ct-v4.ibsgss.uk	118.112.1.144	80	sc-ct-v4.ip.zstaticcdn.com	bak.sc-ct-v4.ibsgss.uk	118.122.233.42	443	sc.189.cn
cdn	6	四川	电信	sc-ct-v6.ibsgss.uk	240e:974:ecff:20:8000:0:b00:98	80	sc-ct-v6.ip.zstaticcdn.com	bak.sc-ct-v6.ibsgss.uk		80	cd-ct-v6.ip.zstaticcdn.com
cdn	4	四川	联通	sc-cu-v4.ibsgss.uk	119.6.217.13	80	sc-cu-v4.ip.zstaticcdn.com	bak.sc-cu-v4.ibsgss.uk	124.161.187.120	80	sc-dazhou-cu-v4.ip.zstaticcdn.com
cdn	6	四川	联通	sc-cu-v6.ibsgss.uk	2408:8766:0:1002:8000:0:b00:3	80	sc-cu-v6.ip.zstaticcdn.com	bak.sc-cu-v6.ibsgss.uk		80	cd-cu-v6.ip.zstaticcdn.com
cdn	4	四川	移动	sc-cm-v4.ibsgss.uk	36.133.60.1	80	sc-cm-v4.ip.zstaticcdn.com	bak.sc-cm-v4.ibsgss.uk	36.133.60.1	80	sc-chengdu-cm-v4.ip.zstaticcdn.com
cdn	6	四川	移动	sc-cm-v6.ibsgss.uk	2409:8c62:e10:74:8000:0:b00:79	80	sc-cm-v6.ip.zstaticcdn.com	bak.sc-cm-v6.ibsgss.uk		80	cd-cm-v6.ip.zstaticcdn.com
cdn	4	贵州	电信	gz-ct-v4.ibsgss.uk	119.0.64.60	80	gz-ct-v4.ip.zstaticcdn.com	bak.gz-ct-v4.ibsgss.uk	114.135.115.117	443	gz.189.cn
cdn	6	贵州	电信	gz-ct-v6.ibsgss.uk	240e:938:a03:303:8000:0:b00:54	80	gz-ct-v6.ip.zstaticcdn.com	bak.gz-ct-v6.ibsgss.uk		80	gy-ct-v6.ip.zstaticcdn.com
cdn	4	贵州	联通	gz-cu-v4.ibsgss.uk	59.80.45.90	80	gz-cu-v4.ip.zstaticcdn.com	bak.gz-cu-v4.ibsgss.uk	59.80.34.200	80	gz-guiyang-cu-v4.ip.zstaticcdn.com
cdn	6	贵州	联通	gz-cu-v6.ibsgss.uk	2408:877f:30:7:8000:0:b00:225	80	gz-cu-v6.ip.zstaticcdn.com	bak.gz-cu-v6.ibsgss.uk		80	gy-cu-v6.ip.zstaticcdn.com
