type	family	province	isp	host	ip	port	target	backup_host	backup_ip	backup_port	backup_target
cernet2	6	陕西	CERNET2	cernet2-sn-v6.ibsgss.uk	2001:250:1001:1::ca75:10d	443	www.xjtu.edu.cn				
cernet	4	甘肃	CERNET	cernet-gs-v4.ibsgss.uk	202.201.0.81	443	www.lzu.edu.cn				
cernet2	6	甘肃	CERNET2	cernet2-gs-v6.ibsgss.uk	2001:da8:c000:2::2026	443	www.lzu.edu.cn				
cernet	4	青海	CERNET	cernet-qh-v4.ibsgss.uk	210.27.177.240	443	www.qhu.edu.cn				
cernet2	6	青海	CERNET2	cernet2-qh-v6.ibsgss.uk	2001:250:1e00:2::144:28	443	www.qhnu.edu.cn				
cernet	4	内蒙古	CERNET	cernet-nm-v4.ibsgss.uk	183.175.40.132	443	www.imu.edu.cn				
cernet2	6	内蒙古	CERNET2	cernet2-nm-v6.ibsgss.uk	2001:da8:21d:c101::2	443	www.imu.edu.cn				
cernet	4	广西	CERNET	cernet-gx-v4.ibsgss.uk	210.36.16.35	443	www.gxu.edu.cn				
cernet2	6	广西	CERNET2	cernet2-gx-v6.ibsgss.uk	2001:250:3401:1::35	443	www.gxu.edu.cn				
cernet	4	西藏	CERNET	cernet-xz-v4.ibsgss.uk	202.200.16.13	443	www.xzmu.edu.cn				
cernet2	6	西藏	CERNET2	cernet2-xz-v6.ibsgss.uk	2001:da8:4023:16::13	443	www.xzmu.edu.cn				
cernet	4	宁夏	CERNET	cernet-nx-v4.ibsgss.uk	222.23.220.245	443	www.nxu.edu.cn				
cernet2	6	宁夏	CERNET2	cernet2-nx-v6.ibsgss.uk	2001:250:1c00:1::245	443	www.nxu.edu.cn				
cernet	4	新疆	CERNET	cernet-xj-v4.ibsgss.uk	111.115.76.75	443	www.xju.edu.cn				
cernet2	6	新疆	CERNET2	cernet2-xj-v6.ibsgss.uk	2001:250:1800:1997::4	443	www.xju.edu.cn				
cernet	4	北京	CERNET	cernet-bj-v4.ibsgss.uk	101.6.15.66	443	www.tsinghua.edu.cn				
cernet2	6	北京	CERNET2	cernet2-bj-v6.ibsgss.uk	2402:f000:1:402:101:6:15:66	443	www.tsinghua.edu.cn				
cernet	4	天津	CERNET	cernet-tj-v4.ibsgss.uk	202.113.2.198	443	www.tju.edu.cn				
cernet2	6	天津	CERNET2	cernet2-tj-v6.ibsgss.uk	2001:da8:a000:ab23::10	443	www.tju.edu.cn				
cernet	4	上海	CERNET	cernet-sh-v4.ibsgss.uk	202.120.2.114	443	www.sjtu.edu.cn				
cernet2	6	上海	CERNET2	cernet2-sh-v6.ibsgss.uk	2001:da8:8000:6181:202:120:2:114	443	www.sjtu.edu.cn				
cernet	4	重庆	CERNET	cernet-cq-v4.ibsgss.uk	202.202.2.6	443	www.cqu.edu.cn				
cernet2	6	重庆	CERNET2	cernet2-cq-v6.ibsgss.uk	2001:da8:c800:100:caca:206::	443	www.cqu.edu.cn				
